Replit,https://replit.com/,Code,"$104,620,000","A Capital Inn, A.Capital Ventures, A16z Cultural Leadership Fund, Adam D'Angelo, Addition, Amino Capital, Andreessen Horowitz, Andrew Sutherland, Ankur Nagpal, Anthony Pompliano, Austen Allred, Benjamin Darnell, Bloomberg Beta, Coatue Management, Dave Lee, Domagoj Babic, Fadi Ghandour, Fahd Ananta, Fifth Down Capital, Gagan Biyani, Greg Brockman, Henrique Debugras, Mattia Astori, Mission and Market, Not Boring Capital, Olivier Pomel, Paul Graham, Peter Thiel, Reach Capital, Roach Capital, Scott Schleifer, Shaan Puri, Shaikh Khalid Bin Mansour Bin Ahmed Bin Ali Althani, Soleio Cuervo, South Park Commons, Vinay Hiremath, Vlad Tenev, Volt Capital, Y Combinator, Zachary Sims",2016,"San Francisco, CA",Web Development,Y
MDClone,https://www.mdclone.com/,Data,"$104,000,000","OrbiMed, Warburg Pincus, Lightspeed Venture Partners, Viola Growth, aMoon Fund",2016,"Be'er Sheva, Israel",Healthcare / science synthetic data,Y
Descript,https://www.descript.com/,Audio,"$100,000,000","Alex Blumberg, Andreessen Horowitz, ASDF Ventures, Bharat Mediratta, Brian Pokorny, Casey Neistat, Devdatta Akhawe, Evan Williams, HubSpot Ventures, Jack Patreon, Jake Shapiro, Jay Simons, Jean-Denis Greze, John Lilly, Justine Ezarik, Lenny Rachitsky, Naval Ravikant, OpenAI, Raghavendra Prabhu, Rahul Vohra, Redpoint Ventures, Shishir Mehrotra, Spark Capital, Tobias Lutke, Todd Goldberg",2017,"San Francisco, CA",Voice generation,Y
Stability,https://stability.ai/,Image,"$100,000,000","Lightspeed Venture Partners, Coatue, O'Shaughnessy Asset Management, Seed Club Ventures",2019,"London, UK",Open AI Tools / Image Generation,Y
Stable Diffusion,https://stablediffusionweb.com/,Image,"$100,000,000",,,,Image Generation,Y
Eluether GPT-NEO,https://www.eleuther.ai/,Text,"$100,000,000",,,,Text Generation,Y
Runway,https://runwayml.com/,Video,"$93,500,000","Amplify Partners, Compound, Lux Capital, Caryn Marooney, David Cahn, Coatue, Felicis, Madrona Venture Group",2018,"Brooklyn, NY",Image/Video creation/editing,Y
Forethought,https://forethought.ai/,Chatbot/Conversational AI,"$92,000,000","New Enterprise Associates, K9 Ventures, Steadfast Financial, Village Global, 8VC, and 36 others",2017,"San Francisco, CA",Customer Support,Y
Inworld,https://www.inworld.ai/,Video,"$83,320,000","Accelerator Investments, BITKRAFT Ventures, CRV, Disney Accelerator, First Spark Ventures, Founders Fund, Intel Capital, Kevin Lin, Kleiner Perkins, LG Technology Ventures, M12, Marc Merrill, Meta Platforms, Micron Ventures, NaHCO3, Nathaniel Mitchell, NTT Docomo Ventures, Sebastien Borget, Section 32, SK Telecom, The Venture Reality Fund, Yat Siu",2021,"Mountain View, CA",NPC's for games,Y
Kasisto,https://kasisto.com/,Chatbot/Conversational AI,"$81,000,000","NCR, FIS, Oak HC/FT, Propel VC, Westpac, and 16 others",2013,"New York, NY",Customer support,Y
Warp,https://www.warp.dev/,Code,"$73,000,000","Dylan Field, Elad Gil, Jeff Weiner, Marc Benioff, BoxGroup, Google Ventures, Neo Fund",2020,"New York, NY",code generation (terminal),
Comet ML,https://www.comet.com/site/,MLOps/Platform,"$70,000,000","Trilogy Equity Partners, Amazon Alexa Fund, Scale Venture Partners, OpenView, Two Sigma Ventures, and 6 others",2017,"New York, NY",Model deployment / modeling / collaboration,Y
Casetext,http://casetext.com,MLOps/Platform,"$69,320,000","A-Grade, Ben Davenport, Charlie Cheever, Crosslink Capital, Paul Buchheit, Red Sea Ventures, Rob Emrich, SV Angel, Susa Ventures, Tom Glocer, WeFunder, Y Combinator, BoxGroup, Formation 8, Union Square Ventures, 8VC, Canvas Ventures, Paycheck Protection Program",2013,United States,Legal case generation,
DataGen Technologies,https://datagen.tech/,Data,"$69,000,000","ICON, Anthony Goldbloom, Spider Capital Partners, TLV Partners, Viola Ventures, Gal Chechik, Michael J. Black, Scale Venture Partners, Trevor Darrell",2017,Israel,Synthetic data generation,
Mutiny,http://www.mutinyhq.com/,Text,"$68,500,000","Aileen Lee, Andrew McLoughlin, Blue Trail Partners, Cowboy Ventures, Earl Grey Capital, Emily Kramer, GTMFund, Hack VC, Insight Partners, John Adractas, Liquid 2 Ventures, Michael Stoppelman, Paul Buchheit, Sequoia Capital, Tiger Global Management, Uncork Capital, Y Combinator",2018,"San Francisco, CA",Marketing / Personalized websites,Y
Gretel,https://gretel.ai/,Data,"$68,000,000","Greylock, Moonshots Capital, Anthos Capital, Village Global, Village Capital, and 1 others",2019,"San Diego, CA",Synthetic data generation,Y
PolyAI,https://poly.ai/,Chatbot/Conversational AI,"$68,000,000","Passion Capital Investments, LLP, Amadeus Capital Partners, Ltd., Entrepreneur First Operations, Ltd., Sands Capital Management, LLC, Point72 Ventures, LLC, Khosla Ventures, LLC, Air Street Capital, LLP, Steve Crossan, Twilio, Inc., Georgian Partners, Inc., Chris Mairs, Nathan Benaich",2017,"London, UK",Voice Assistants,Y
Creative Fabrica,https://www.creativefabrica.com/spark/,MLOps/Platform,"$68,000,000","Alven, Felix Capital, Peak Capital, Triple Point, LionTree, FJLabs",2016,Amsterdam,Art and writing generation,
Persado,https://www.persado.com/,Text,"$66,000,000","Goldman Sachs, Bain Capital Ventures, StarVest Partners, Citi Ventures, American Express, and 4 others",2012,"New York, NY",Language generation,Y
Synthesia,https://www.synthesia.io/,Video,"$65,500,000","Christian Bach, FirstMark Capital, GV, Innovate UK, Kleiner Perkins, LDV Capital, Mark Cuban, Martin Varsavsky, Michael Buckley, MMC Ventures, Nigel Morris, Philipp Moehring, Radical Investments, Seedcamp, Taavet Hinrikus, Tiny.VC, VAS Ventures",2017,"London, UK",AI Video Creation,Y
Adept,https://www.adept.ai/,MLOps/Platform,"$65,000,000","10X Capital, Addition, Air Street Capital, Andrej Karpathy, Chris Re, Greylock Partners, Howie Liu, Root Ventures, Sarah Meyohas, Scott Belsky",2017,"San Francisco, CA",General intelligence,Y
AssemblyAI,https://www.assemblyai.com/,Audio,"$63,000,000","Accel, Insight Partners, Daniel Gross, Nat Friedman",2017,San Francisco,Speech to Text,Y
Otter,https://otter.ai/,Summarization,"$63,000,000","Horizons Ventures, Draper Associates, Spectrum",2016,"Mountain View, CA",Meeting note summarization,Y
Magnifi,https://magnifi.ai/,Video,"$60,880,000","Inflection Point Ventures, LLP, 9Unicorns Accelerator Fund, Chinaccelerator, Venture Catalysts Pvt., Ltd. (VCAT), SOSV Investments, LLC, Cathexis Ventures, Anthill Capital Pte., Ltd. dba Anthill Ventures, InnoVen Capital India Pvt., Ltd., Ventureast Fund Advisors India, Ltd., Baring Private Equity Partners India, Ltd., Huashan Capital, Moneta Ventures, LLC, Saikiran Krishnamurthy, Binny Bansal, Vinay Bansal, Mitesh Shah, Ankur Mittal, Mumbai Angels Network, Hyderabad Angels (HA), The Chennai Angels (TCA)",2017,"Mumbai, India",Video editing / insights,M
Lightning.ai,https://lightning.ai/,MLOps/Platform,"$59,000,000","Coatue, Index Ventures, Bain Capital Ventures, MANTIS Venture Capital, Firstminute Capital, and 1 others",2019,"New York, NY",Model development,Y
Deepgram,https://deepgram.com/,Audio,"$56,000,000","Y Combinator, Tiger Global Management, In-Q-Tel, Wing Venture Capital, Compound, and 11 others",2015,San Francisco,Speech to Text,M
DeepBrain AI,deepbrainai.io,Video,"$55,760,000","L&S VENTURE CAPITAL, Donghoon Investment, K-Startup Grand Challenge, Korea Credit Guarantee Fund, CH & Partners, IDG Capital, KB Investment, POSCO Capital, IMM Investment, KDB Capital, Korea Development Bank, NVESTOR, Noh & Partners, Visa FinTech Fast-Track Program, Shinhan Future's Lab",2016,South Korea,Virtual Humans and Avatars,
InVideo,https://invideo.io/,Video,"$53,000,000","Surge, Sequoia Capital India, Tiger Global Management, Lightspeed Venture Partners, Hummingbird Ventures, and 7 others",2017,"Singapore, Singapore","Text to Video, Video creation/editing",Y
Balto,https://www.balto.ai/,Chatbot/Conversational AI,"$52,000,000","Stage Venture Partners, Sierra Ventures, Stripes, Arch Grants, OCA Ventures, and 10 others",2017,"St Louis, United States",Automated Virtual Agents,Y
D-ID,https://www.d-id.com/,Video,"$48,000,000","Y Combinator, Foundation Capital, Maverick Ventures Israel, Pegasus Tech Ventures, Pitango Venture Capital, AI Alliance, AXA Venture Partners, Hyundai Motor Company, Mindset Ventures, Omron Ventures, REDDS Capital, Macquarie Capital, Marubeni Corporation, Maverick Capital, NTT Finance, OIF Ventures, OurCrowd",2017,"Tel Aviv, Israel",Photos to Video,Y
Riverside,https://riverside.fm/,Video,"$47,000,000","Oren Zeev, Seven Seven Six, Elad Gil, Zeev Ventures, Casey Neistat, and 5 others",2019,"Tel Aviv, Israel",Podcast recording / editing,M
Tonic,https://www.tonic.ai/,Data,"$45,000,000","Insight Partners, GGV Capital, Heavybit, Bloomberg Beta, Xfund, and 5 others",2018,"San Francisco, CA",Synthetic Data,Y
You,https://you.com/,Text,"$45,000,000","Ayori Selassie, Breyer Capital, Cap Table Coalition, Day One Ventures, Fusion Fund, James Breyer, Marc Benioff, Norwest Venture Partners, Radical Ventures, rocketship.vc, Sound Ventures, Time Ventures",2020,"Palo Alto, CA",AI Writer / Knowledge Search,Y
Robust Intelligence,https://www.robustintelligence.com/,MLOps/Platform,"$44,000,000","Sequoia Capital, Tiger Global Management, Engineering Capital, Ram Shriram, Harpoon, and 1 others",2019,"San Francisco, CA",Model dev,Y
Parallel Domain,http://paralleldomain.com,Data,"$43,650,000","Bessemer Venture Partners, Costanoa Ventures, RRE Ventures, Ubiquity Ventures, Toyota Ventures, Calibrate Ventures, Foundry Group, March Capital Partners",2017,United States,Synthetic data,
Textio,https://textio.com/,Sentiment Analysis,"$42,000,000","Emergence, Scale Venture Partners, Cowboy Ventures, Industry Ventures, Upside Partnership, and 3 others",2014,"Seattle, WA",Writing (bias / sentiment),N
Ushur,https://ushur.com/,Chatbot/Conversational AI,"$42,000,000","8VC, Third Point Ventures, Iron Pillar, Plug and Play, Aflac Global Ventures",2014,"Santa Clara, United States",Automated Virtual Agents,Y
Mavenoid,https://www.mavenoid.com/en/,Chatbot/Conversational AI,"$40,000,000","Mosaic Ventures, Point Nine, Smedvig Capital, Creandum, Jeremy Yap, and 7 others",2017,"Stockholm, Sweden",Contact Center (Hardware),Y
Unbounce,https://unbounce.com/,Text,"$39,000,000","Espresso Capital, Real Ventures, Crest Rock Partners, 500 Global, Atlas Venture, and 6 others",2009,"Vancouver, Canada",AI Writer / Landing Pages,Y
Pinecone,https://www.pinecone.io/,Semantic Search,"$38,000,000","Menlo Ventures, Wing Venture Capital, Tiger Global Management",2019,"San Mateo, United States",Vector database,N
MosaicML,https://www.mosaicml.com/,MLOps/Platform,"$37,000,000","AME Cloud Ventures, LLC, Playground Global, LLC, DCVC Management Co., LLC dba Data Collective, Lux Capital Management, LLC, Future Ventures, LP, Correlation Ventures, LLC, E14 Fund Management, Inc.",2020,"San Francisco, CA",Model development,Y
VEED,https://www.veed.io/,Video,"$35,000,000",Sequoia Capital,2018,"Benfleet, United Kingdom",Video creation/editing,M
Matroid,https://www.matroid.com/,MLOps/Platform,"$34,000,000","New Enterprise Associates, Intel Capital, Energize Ventures",2016,"Palo Alto, CA",Computer vision,Y
Contents,https://www.contents.com/,MLOps/Platform,"$33,860,000","Synergo Capital, B-holding, Invictus Capital, Gellify, Azimut Digitech Fund",2020,"Milan, Italy",Content creation platform,
Papercup,https://www.papercup.com/,Audio,"$33,000,000","Sands Capital Ventures, Octopus Ventures, LocalGlobe, BDMI, Sky UK, and 5 others",2017,"London, UK",Video dubbing / localization,M
EliseAI,https://www.eliseai.com/,Chatbot/Conversational AI,"$32,440,000","Ground Up Ventures Fund, LP, Navitas Capital, The Durst Organization, Inc., Stonehenge Management, LLC dba Stonehenge NYC, AvalonBay Communities, Inc., Equity Residential (EQR), Golden Seeds, LLC, Golden Seeds Venture Fund, LP (GSVF)",2017,"New York, NY",Automated Virtual Agents,Y
Anyword,https://anyword.com/,Text,"$32,350,000","Amir Orad, Benjamin Narasin, Dror Berman, Gandyr Investments, Geoff Isenman, Howard Lerman, Innovation Endeavors, Lead Capital Partners, Marker, Michael Ronen, Nir Eyal, Omri Kaplan, Oren Abekasis, Sherpalo Ventures, The New York Times, Tomer Cohen, UpWest, Yossi Matias",2013,"New York, NY",Marketing / Copywriting,Y
MostlyAI,https://mostly.ai/,Data,"$31,000,000","Molten Ventures, Earlybird Venture Capital, 42CAP, Citi Ventures, PUSH Ventures",2017,"Vienna, Austria",Synthetic Data generation,Y
Aqemia,aqemia.com,Bio,"$30,430,000","Elaia Partners, Large Venture, Sanofi, French Healthcare NEXT Program, Ecole Normale Superieure, PariSante Campus",2019,France,molecule generation,
Tabnine,https://www.tabnine.com/,Code,"$30,050,000","Arie Yahav, Bob Pasker, Fred Bosch, Hetz Ventures, Khosla Ventures, LIP Ventures Boutique, OurCrowd, Qualcomm Ventures, Samsung NEXT Ventures, Technion Israel Institute of Technology, TPY Capital",2013,"Tel Aviv, Israel",Code Completion,Y
Hebbia,hebbia.ai,Semantic Search,"$30,000,000","Floodgate, Index Ventures, Jerry Yang, Radical Ventures, Raquel Urtasun",2020,United States,Personal AI Analyst,
Aporia,https://www.aporia.com/,MLOps/Platform,"$30,000,000","Vertex Ventures, Tiger Global Management, TLV Partners, Samsung NEXT, Tal Ventures, and 3 others",2019,"Tel Aviv, Israel",Model monitoring,Y
Codacy,https://www.codacy.com/,Code,"$29,000,000","EQT Ventures, Join Capital, Bright Pixel, Armilar Venture Partners, Seedcamp, and 5 others",2012,"Lisbon, Portugal",Code Quality,Y
Gantry,https://gantry.io/,MLOps/Platform,"$28,300,000","Amplify Partners, Coatue Management, Greg Brockman, GTMFund, Index Ventures, Mantis VC, Pieter Abbeel, South Park Commons",2021,"San Francisco, CA",Model development,Y
Air Inc,https://air.inc/,Semantic Search,"$28,220,000","Tiger Global, Lerer Hippeau, WndrCo, Slack Ventures, Red Sea Ventures, and Advancit Capital",2022,SF Bay Area,Marketing / search,N
Abridge,https://www.abridge.com/,Summarization,"$27,500,000","Pillar, Union Square Ventures, Aneesh Chopra, Bessemer Venture Partners, Esther Dyson, KdT Ventures, UPMC Enterprises, Zen Chu, Whistler Capital Partners, Wittington Ventures, Yoshua Bengio",2018,United States,Healthcare conversation documentation,
Corti,corti.ai,Audio,"$27,160,000","Nordic Makers, Sunstone Capital, byFounders, Horizon 2020, Headstart Accelerator, Chr. Augustinus Fabrikker, IDInvest Partners, Vækstfonden",2016,Denmark,Healthcare Speech to text / data organization,
AI Foundation,https://aifoundation.com/,MLOps/Platform,"$27,000,000","Biz Stone, Endeavor, Founders Fund, The Brandtech Group, Alpha Edison, Mousse Partners",2017,United States,AI humans,
Ultimate,https://www.ultimate.ai/,Chatbot/Conversational AI,"$27,000,000","Maki.vc, HV Capital, European Innovation Council, OMERS Ventures, Felicis Ventures, and 2 others",2017,"Berlin, Germany",Automated Virtual Agents,Y
Synthesis AI,synthesis.ai,MLOps/Platform,"$26,130,000","Plug and Play Accelerator, Bee Partners, Boom Capital, Kubera Venture Capital, Leta Capital, PJC, Swift Ventures, iRobot Ventures, 468 Capital, Sorenson Ventures, Strawberry Creek Ventures",2019,"San Francisco, CA",Synthetic data and image generation,
Hour One,https://hourone.ai/,Video,"$26,000,000","Amaranthine, Cerca Partners, Digital Horizon, Eynat Guez, Galaxy Interactive (New York), Gemini Capital, Insight Partners, Intel Ignite, Kindred Ventures, Remagine Ventures",2019,"Tel Aviv, Israel",Text to Video,Y
Writer,https://writer.com/,Text,"$26,000,000","Acrew Capital, Alexander MacCaw, Allison Pickens, Ankur Nagpal, Aspect Ventures, Austin Rief, Bonfire Ventures, Broadway Angels, Camille Ricketts, Dubai Silicon Oasis Authority, Gradient Ventures, GTMFund, Insight Partners, Jack Altman, James Beshara, Julia Lipton, Lemonade Capital, Lenny Rachitsky, MBC Ventures, Mubadala Capital-Ventures, Oliver Jay, Packy McCormick, Reform Ventures, Scott Belsky, The Todd & Rahul Angel Fund, Upfront Ventures, ValueStream Ventures, Vivek Sodera",2020,"San Francisco, CA",Writing/Editing,Y
Outerbounds,https://outerbounds.com/,MLOps/Platform,"$25,750,000","Greenoaks Capital, Foundation Capital & Amplify Partners",2021,"San Francisco, CA",Model dev,Y
Iterative.ai,https://iterative.ai/,MLOps/Platform,"$25,000,000","468 Capital, True Ventures, Afore Capital, Ihar Mahaniok",2018,"San Francisco, CA",Model development,Y
Chooch AI,https://chooch.ai/,MLOps/Platform,"$24,600,000","Vickers Venture Partners, 212.vc, Alumni Ventures, Streamlined Ventures, Waterman Ventures, NGA Accelerator",2015,"San Mateo, CA",Computer vision platform,
AiMi,https://www.aimi.fm/,Audio,"$24,000,000","Founders Fund, Great Mountain Partners, Endanik, Ethos, Randall Mays",2019,"Austin, TX",Music generation,
Darrow,https://www.darrow.ai/,Text,"$24,000,000","F2 Venture Capital, NFX, Entrée Capital, Y Combinator",2020,"Tel Aviv, Israel",Legal case generation,Y
Symbl.ai,symbl.ai,MLOps/Platform,"$23,720,000","Techstars, Flying Fish Venture Partners, Alexa Accelerator, Amazon Alexa Fund, CrossCut Ventures, Jump Capital, TechNexus, Third Kind Venture Capital, Tom Williams, Tony Chen, Great Point Ventures, Gutbrain Ventures, PBJ Capital",2018,"Seattle, WA",Conversational AI Platform,
Galileo,https://www.rungalileo.io/,MLOps/Platform,"$23,000,000","Battery Ventures, FactoryHQ, FPV Ventures, Walden Catalyst, Anthony Goldbloom, and 6 others",2021,"San Francisco, CA",Model development,Y
Splash,https://www.splashmusic.com/,Audio,"$23,000,000","BITKRAFT Ventures, King River Capital, Khosla Ventures, Amazon Alexa Fund, Mawson, Techstars",2017,"Brisbane, Australia",Song generation,Y
TestFit,https://testfit.io/,Image,"$22,000,000","Parkway VC, Prologis Ventures",2016,"Dallas, TX",Real estate design,
Endel,https://endel.io/,Audio,"$20,530,000","Amazon Alexa Fund, Gaingels, Impulse Ventures, Leaf Ventures, LionTree Partners, Plus Eight Equity Partners, Supermoon Capital, Target Global, Techstars, True Ventures, Waverley Capital",2018,"Berlin, Germany",Personalized soundscapes,Y
Deepdub,https://deepdub.ai/,Video,"$20,000,000","Insight Partners, Swift Ventures, Matias Ventures, Danny Grander, Booster Ventures, and 6 others",2019,"Tel Aviv-yafo, Israel",Content localization / dubbing,Y
Vectara,https://vectara.com/,Semantic Search,"$20,000,000","Amplify Partners, BECO Capital, Brighter Capital, Essence Venture Capital, Feld Ventures, Green Sands Equity, GTM Capital, MDSV Capital, NKM Capital, OODA Ventures, Page One Ventures, Spark Labs, Sparq Capital (United States), Transform VC, Vertex Ventures US,",2020,"Cupertino, United States",Video/Image Search,N
PhotoRoom,https://www.photoroom.com/,Image,"$19,000,000","Adjacent Venture Capital, Balderton Capital, Eric Setton, FJ Labs, Francescu Santoni, François Lagunas, Holger Seim, Jacob Eiting, Jean Patry, John Bonten, Kima Ventures, Liquid 2 Ventures, Nicolas Pinto, Nicolas Steegmann, Uncommon Projects, Y Combinator, Yann LeCun, Zehan Wang",2019,"Paris, France",photo generator / Background removal,Y
Uizard,https://uizard.io/,Image,"$19,000,000","Insight Partners, LDV Capital, byFounders, AV8 Ventures, 7percent Ventures, and 9 others",2018,"Copenhagen, Denmark",Product Design,Y
Pepper Content,https://www.peppercontent.io/,Text,"$19,000,000","Titan Capital Services Pvt., Ltd., YourStory Media Pvt., Ltd., Sidharth Rao, Sanjay Tripathy, Hemanshu Jain, Manan Maheshwari, Alok Mittal, Amit Ranjan, Ritesh Malik, Saurabh Srivastava, Bessemer Venture Partners, LP (BVP), Tanglin Venture Partners Pte., Ltd. (TVP), Lightspeed Management Co., LLC dba Lightspeed Venture Partners, Gokul Rajaram, Kunal Shah, Ashish Gupta, Dheeraj Pandey, Ankur Nagpal, Abhinav Sinha, Ritesh Agarwal, Balaji Srinivasan, Dilipkumar Khandelwal, Akhil Paul, Miten Sampat, Aakrit Vaish, Gaurav Munjal, Beerud Sheth, Utsav Somani, YourStory, Titan Capital Solutions",2017,"Andheri East, India",Content/marketing generation,Y
Facet,http://facet.ai,Image,"$18,900,000","Basis Set Ventures, Accel, Slow Ventures, South Park Commons, Two Sigma Ventures",2017,"San Francisco, CA",AI-powered image editor,
Krisp,https://krisp.ai/,Audio,"$18,000,000","Sierra Ventures, Shanda Group, RTP Global, Storm Ventures, TechNexus Venture Collaborative, and 7 others",2017,"Berkeley, United States",Audio quality / sound extraction,Y
